bird_y,bird_velocity,gap_top,gap_bottom,pipe_dx,action
300,0,169,319,300,0
300,0.5,169,319,297,0
301,1.0,169,319,294,0
303,1.5,169,319,291,0
305,2.0,169,319,288,0
307,2.5,169,319,285,0
310,3.0,169,319,282,0
314,3.5,169,319,279,0
318,4.0,169,319,276,0
322,4.5,169,319,273,0
327,5.0,169,319,270,0
333,5.5,169,319,267,0
339,6.0,169,319,264,0
345,6.5,169,319,261,0
352,7.0,169,319,258,0
360,7.5,169,319,255,0
368,8.0,169,319,252,0
376,8.5,169,319,249,0
385,9.0,169,319,246,0
395,9.5,169,319,243,0
405,10.0,169,319,240,0
415,10.5,169,319,237,0
426,11.0,169,319,234,0
438,11.5,169,319,231,0
450,12.0,169,319,228,0
462,12.5,169,319,225,0
475,13.0,169,319,222,0
489,13.5,169,319,219,0
503,14.0,169,319,216,0
517,14.5,169,319,213,0
532,15.0,169,319,210,0
548,15.5,169,319,207,0
564,16.0,169,319,204,0
300,0,288,438,300,0
300,0.5,288,438,297,0
301,1.0,288,438,294,0
303,1.5,288,438,291,0
305,2.0,288,438,288,0
307,2.5,288,438,285,0
310,3.0,288,438,282,0
314,3.5,288,438,279,0
318,4.0,288,438,276,0
322,4.5,288,438,273,0
327,5.0,288,438,270,0
333,5.5,288,438,267,0
339,6.0,288,438,264,0
345,6.5,288,438,261,0
352,7.0,288,438,258,0
360,7.5,288,438,255,0
368,8.0,288,438,252,0
376,8.5,288,438,249,0
385,9.0,288,438,246,0
395,9.5,288,438,243,0
405,10.0,288,438,240,0
415,10.5,288,438,237,0
426,-10,288,438,234,0
417,-9.5,288,438,231,0
408,-9.0,288,438,228,0
399,-8.5,288,438,225,0
391,-8.0,288,438,222,0
384,-7.5,288,438,219,0
377,-7.0,288,438,216,0
370,-6.5,288,438,213,0
364,-6.0,288,438,210,0
359,-5.5,288,438,207,0
354,-5.0,288,438,204,0
349,-4.5,288,438,201,0
345,-4.0,288,438,198,0
342,-3.5,288,438,195,0
339,-3.0,288,438,192,0
336,-2.5,288,438,189,0
334,-2.0,288,438,186,0
333,-1.5,288,438,183,0
332,-1.0,288,438,180,0
331,-0.5,288,438,177,0
331,0.0,288,438,174,0
332,0.5,288,438,171,0
333,1.0,288,438,168,0
334,1.5,288,438,165,0
336,2.0,288,438,162,0
339,2.5,288,438,159,0
342,3.0,288,438,156,0
345,3.5,288,438,153,0
349,4.0,288,438,150,0
354,4.5,288,438,147,0
359,5.0,288,438,144,0
364,5.5,288,438,141,1
355,-9.5,288,438,138,0
346,-9.0,288,438,135,0
337,-10,288,438,132,0
328,-9.5,288,438,129,0
319,-9.0,288,438,126,0
310,-8.5,288,438,123,0
302,-8.0,288,438,120,0
295,-7.5,288,438,117,0
288,-7.0,288,438,114,0
281,-6.5,288,438,111,0
275,-6.0,288,438,108,0
270,-5.5,288,438,105,0
265,-5.0,288,438,102,0
260,-4.5,288,438,99,0
256,-4.0,288,438,96,0
253,-3.5,288,438,93,0
250,-3.0,288,438,90,0
247,-2.5,288,438,87,0
245,-2.0,288,438,84,0
244,-1.5,288,438,81,0
243,-1.0,288,438,78,0
242,-0.5,288,438,75,0
242,0.0,288,438,72,0
243,0.5,288,438,69,0
244,1.0,288,438,66,0
245,1.5,288,438,63,0
247,2.0,288,438,60,0
250,2.5,288,438,57,0
253,3.0,288,438,54,0
256,3.5,288,438,51,0
260,4.0,288,438,48,0
265,4.5,288,438,45,0
270,5.0,288,438,42,0
275,5.5,288,438,39,0
281,6.0,288,438,36,0
288,6.5,288,438,33,0
295,7.0,288,438,30,0
302,7.5,288,438,27,0
310,8.0,288,438,24,0
319,8.5,288,438,21,0
328,9.0,288,438,18,0
337,9.5,288,438,15,0
347,10.0,288,438,12,0
358,10.5,288,438,9,0
369,11.0,288,438,6,1
359,-9.5,288,438,3,1
350,-9.5,288,438,0,0
341,-9.0,288,438,-3,0
332,-8.5,288,438,-6,0
324,-10,288,438,-9,0
315,-9.5,288,438,-12,0
306,-9.0,288,438,-15,0
297,-8.5,288,438,-18,0
289,-8.0,288,438,-21,0
300,0,220,370,300,0
300,0.5,220,370,297,0
301,1.0,220,370,294,0
303,1.5,220,370,291,0
305,2.0,220,370,288,0
307,2.5,220,370,285,0
310,3.0,220,370,282,0
314,3.5,220,370,279,0
318,4.0,220,370,276,0
322,4.5,220,370,273,0
327,5.0,220,370,270,0
333,5.5,220,370,267,0
339,6.0,220,370,264,0
345,6.5,220,370,261,0
352,7.0,220,370,258,0
360,7.5,220,370,255,0
368,8.0,220,370,252,0
376,8.5,220,370,249,0
385,9.0,220,370,246,0
395,9.5,220,370,243,0
405,10.0,220,370,240,0
415,10.5,220,370,237,0
426,11.0,220,370,234,0
438,11.5,220,370,231,0
450,12.0,220,370,228,0
462,12.5,220,370,225,0
475,13.0,220,370,222,0
489,13.5,220,370,219,0
503,14.0,220,370,216,0
517,-10,220,370,213,0
508,-9.5,220,370,210,0
499,-9.0,220,370,207,0
490,-8.5,220,370,204,0
482,-8.0,220,370,201,0
475,-7.5,220,370,198,0
468,-7.0,220,370,195,0
461,-6.5,220,370,192,0
455,-6.0,220,370,189,0
450,-5.5,220,370,186,0
445,-5.0,220,370,183,0
440,-4.5,220,370,180,0
436,-4.0,220,370,177,1
427,-9.5,220,370,174,1
417,-9.5,220,370,171,1
408,-9.5,220,370,168,1
398,-9.5,220,370,165,1
389,-9.5,220,370,162,1
379,-9.5,220,370,159,1
370,-9.5,220,370,156,1
360,-9.5,220,370,153,1
351,-9.5,220,370,150,1
341,-9.5,220,370,147,1
332,-9.5,220,370,144,1
322,-9.5,220,370,141,1
313,-9.5,220,370,138,1
303,-9.5,220,370,135,1
294,-9.5,220,370,132,1
284,-10,220,370,129,0
275,-9.5,220,370,126,0
266,-9.0,220,370,123,0
257,-8.5,220,370,120,0
249,-8.0,220,370,117,0
242,-7.5,220,370,114,0
235,-7.0,220,370,111,0
228,-6.5,220,370,108,0
222,-6.0,220,370,105,0
217,-5.5,220,370,102,0
212,-5.0,220,370,99,0
207,-4.5,220,370,96,0
203,-4.0,220,370,93,0
200,-3.5,220,370,90,0
197,-3.0,220,370,87,0
194,-2.5,220,370,84,0
192,-2.0,220,370,81,0
191,-1.5,220,370,78,0
190,-1.0,220,370,75,0
189,-0.5,220,370,72,0
189,0.0,220,370,69,0
190,0.5,220,370,66,0
191,1.0,220,370,63,0
192,1.5,220,370,60,0
194,2.0,220,370,57,0
197,2.5,220,370,54,0
200,3.0,220,370,51,0
203,3.5,220,370,48,0
207,4.0,220,370,45,0
212,4.5,220,370,42,0
217,5.0,220,370,39,0
222,5.5,220,370,36,0
228,6.0,220,370,33,0
235,6.5,220,370,30,0
242,7.0,220,370,27,0
249,7.5,220,370,24,0
257,8.0,220,370,21,0
266,8.5,220,370,18,0
275,9.0,220,370,15,0
284,9.5,220,370,12,0
294,10.0,220,370,9,0
305,10.5,220,370,6,1
295,-9.5,220,370,3,1
286,-10,220,370,0,0
276,-9.5,220,370,-3,0
267,-9.0,220,370,-6,0
259,-8.5,220,370,-9,0
251,-8.0,220,370,-12,0
243,-7.5,220,370,-15,0
236,-7.0,220,370,-18,0
230,-6.5,220,370,-21,0
224,-6.0,220,370,-24,0
300,0,205,355,300,0
300,0.5,205,355,297,0
301,1.0,205,355,294,0
303,1.5,205,355,291,0
305,2.0,205,355,288,0
307,2.5,205,355,285,0
310,3.0,205,355,282,0
314,3.5,205,355,279,0
318,4.0,205,355,276,0
322,4.5,205,355,273,0
327,5.0,205,355,270,0
333,5.5,205,355,267,0
339,6.0,205,355,264,0
345,6.5,205,355,261,0
352,7.0,205,355,258,0
360,7.5,205,355,255,0
368,8.0,205,355,252,0
376,8.5,205,355,249,0
385,9.0,205,355,246,0
395,9.5,205,355,243,0
405,10.0,205,355,240,0
415,10.5,205,355,237,0
426,11.0,205,355,234,0
438,11.5,205,355,231,0
450,12.0,205,355,228,0
462,12.5,205,355,225,0
475,13.0,205,355,222,0
489,13.5,205,355,219,0
503,14.0,205,355,216,0
517,14.5,205,355,213,0
532,15.0,205,355,210,0
548,15.5,205,355,207,0
564,16.0,205,355,204,0
300,0,156,306,300,0
300,0.5,156,306,297,0
301,1.0,156,306,294,0
303,1.5,156,306,291,0
305,2.0,156,306,288,0
307,2.5,156,306,285,0
310,3.0,156,306,282,0
314,3.5,156,306,279,0
318,4.0,156,306,276,0
322,4.5,156,306,273,0
327,5.0,156,306,270,0
333,5.5,156,306,267,0
339,6.0,156,306,264,0
345,6.5,156,306,261,0
352,7.0,156,306,258,0
360,7.5,156,306,255,0
368,8.0,156,306,252,0
376,8.5,156,306,249,0
385,9.0,156,306,246,0
395,9.5,156,306,243,0
405,10.0,156,306,240,0
415,10.5,156,306,237,0
426,11.0,156,306,234,0
438,11.5,156,306,231,0
450,12.0,156,306,228,0
462,12.5,156,306,225,0
475,13.0,156,306,222,0
489,13.5,156,306,219,0
503,14.0,156,306,216,0
517,14.5,156,306,213,0
532,15.0,156,306,210,0
548,15.5,156,306,207,0
564,16.0,156,306,204,0
300,0,285,435,300,0
300,0.5,285,435,297,0
301,1.0,285,435,294,0
303,1.5,285,435,291,0
305,2.0,285,435,288,0
307,2.5,285,435,285,0
310,3.0,285,435,282,0
314,3.5,285,435,279,0
318,4.0,285,435,276,0
322,4.5,285,435,273,0
327,5.0,285,435,270,0
333,5.5,285,435,267,0
339,6.0,285,435,264,0
345,6.5,285,435,261,0
352,7.0,285,435,258,0
360,7.5,285,435,255,0
368,8.0,285,435,252,0
376,8.5,285,435,249,0
385,9.0,285,435,246,0
395,9.5,285,435,243,0
405,10.0,285,435,240,0
415,10.5,285,435,237,0
426,11.0,285,435,234,0
438,-10,285,435,231,0
428,-9.5,285,435,228,0
419,-9.0,285,435,225,0
411,-8.5,285,435,222,0
403,-8.0,285,435,219,0
395,-7.5,285,435,216,0
388,-7.0,285,435,213,0
382,-6.5,285,435,210,0
376,-6.0,285,435,207,0
370,-5.5,285,435,204,0
365,-5.0,285,435,201,0
361,-4.5,285,435,198,0
357,-4.0,285,435,195,0
353,-3.5,285,435,192,0
350,-3.0,285,435,189,0
348,-2.5,285,435,186,0
346,-2.0,285,435,183,0
344,-1.5,285,435,180,0
343,-1.0,285,435,177,0
343,-0.5,285,435,174,0
343,0.0,285,435,171,0
343,0.5,285,435,168,0
344,1.0,285,435,165,0
346,1.5,285,435,162,0
348,2.0,285,435,159,0
350,2.5,285,435,156,0
353,3.0,285,435,153,0
357,3.5,285,435,150,0
361,4.0,285,435,147,1
351,-9.5,285,435,144,0
342,-9.0,285,435,141,0
334,-8.5,285,435,138,0
326,-8.0,285,435,135,0
318,-7.5,285,435,132,0
311,-7.0,285,435,129,0
305,-6.5,285,435,126,0
299,-6.0,285,435,123,0
293,-5.5,285,435,120,0
288,-5.0,285,435,117,0
284,-4.5,285,435,114,0
280,-4.0,285,435,111,0
276,-10,285,435,108,0
267,-9.5,285,435,105,0
258,-9.0,285,435,102,0
249,-8.5,285,435,99,0
241,-8.0,285,435,96,0
234,-7.5,285,435,93,0
227,-7.0,285,435,90,0
220,-6.5,285,435,87,0
214,-6.0,285,435,84,0
209,-5.5,285,435,81,0
204,-5.0,285,435,78,0
199,-4.5,285,435,75,0
195,-4.0,285,435,72,0
192,-3.5,285,435,69,0
189,-3.0,285,435,66,0
186,-2.5,285,435,63,0
184,-2.0,285,435,60,0
183,-1.5,285,435,57,0
182,-1.0,285,435,54,0
181,-0.5,285,435,51,0
181,0.0,285,435,48,0
182,0.5,285,435,45,0
183,1.0,285,435,42,0
184,1.5,285,435,39,0
186,2.0,285,435,36,0
300,0,109,259,300,0
300,0.5,109,259,297,0
301,1.0,109,259,294,0
303,1.5,109,259,291,0
305,2.0,109,259,288,0
307,2.5,109,259,285,0
310,3.0,109,259,282,0
314,3.5,109,259,279,0
318,4.0,109,259,276,0
322,4.5,109,259,273,0
327,5.0,109,259,270,0
333,5.5,109,259,267,0
339,6.0,109,259,264,0
345,6.5,109,259,261,0
352,7.0,109,259,258,0
360,7.5,109,259,255,0
368,8.0,109,259,252,0
376,8.5,109,259,249,0
385,9.0,109,259,246,0
395,9.5,109,259,243,0
405,10.0,109,259,240,0
415,10.5,109,259,237,0
426,11.0,109,259,234,0
438,11.5,109,259,231,0
450,12.0,109,259,228,0
462,12.5,109,259,225,0
475,13.0,109,259,222,0
489,13.5,109,259,219,0
503,14.0,109,259,216,0
517,14.5,109,259,213,0
532,15.0,109,259,210,0
548,15.5,109,259,207,0
564,16.0,109,259,204,0
300,0,343,493,300,0
300,0.5,343,493,297,0
301,1.0,343,493,294,0
303,1.5,343,493,291,0
305,2.0,343,493,288,0
307,2.5,343,493,285,0
310,3.0,343,493,282,0
314,3.5,343,493,279,0
318,4.0,343,493,276,0
322,4.5,343,493,273,0
327,5.0,343,493,270,0
333,5.5,343,493,267,0
339,6.0,343,493,264,0
345,6.5,343,493,261,0
352,7.0,343,493,258,0
360,7.5,343,493,255,0
368,8.0,343,493,252,0
376,8.5,343,493,249,0
385,9.0,343,493,246,0
395,9.5,343,493,243,0
405,10.0,343,493,240,0
415,-10,343,493,237,0
406,-9.5,343,493,234,0
397,-9.0,343,493,231,0
388,-8.5,343,493,228,0
380,-8.0,343,493,225,0
373,-7.5,343,493,222,0
366,-7.0,343,493,219,0
359,-6.5,343,493,216,0
353,-6.0,343,493,213,0
348,-5.5,343,493,210,0
343,-5.0,343,493,207,0
338,-4.5,343,493,204,0
334,-4.0,343,493,201,0
331,-3.5,343,493,198,0
328,-3.0,343,493,195,0
325,-2.5,343,493,192,0
323,-2.0,343,493,189,0
322,-1.5,343,493,186,0
321,-1.0,343,493,183,0
320,-0.5,343,493,180,0
320,0.0,343,493,177,0
321,0.5,343,493,174,0
322,1.0,343,493,171,0
323,1.5,343,493,168,0
325,2.0,343,493,165,0
328,2.5,343,493,162,0
331,3.0,343,493,159,0
334,3.5,343,493,156,0
338,4.0,343,493,153,0
343,4.5,343,493,150,0
348,5.0,343,493,147,0
353,5.5,343,493,144,0
359,6.0,343,493,141,0
366,6.5,343,493,138,0
373,7.0,343,493,135,0
380,7.5,343,493,132,0
388,8.0,343,493,129,0
397,8.5,343,493,126,0
406,9.0,343,493,123,0
415,9.5,343,493,120,0
425,10.0,343,493,117,1
416,-9.5,343,493,114,1
406,-9.5,343,493,111,0
397,-9.0,343,493,108,0
389,-8.5,343,493,105,0
381,-8.0,343,493,102,0
373,-7.5,343,493,99,0
366,-7.0,343,493,96,0
360,-6.5,343,493,93,0
354,-6.0,343,493,90,0
348,-5.5,343,493,87,0
343,-5.0,343,493,84,0
339,-4.5,343,493,81,0
335,-4.0,343,493,78,0
331,-3.5,343,493,75,0
328,-3.0,343,493,72,0
326,-2.5,343,493,69,0
324,-2.0,343,493,66,0
322,-1.5,343,493,63,0
321,-1.0,343,493,60,0
321,-0.5,343,493,57,0
321,0.0,343,493,54,0
321,0.5,343,493,51,0
322,1.0,343,493,48,0
324,1.5,343,493,45,0
326,2.0,343,493,42,0
328,2.5,343,493,39,0
331,3.0,343,493,36,0
300,0,130,280,300,0
300,0.5,130,280,297,0
301,1.0,130,280,294,0
303,1.5,130,280,291,0
305,2.0,130,280,288,0
307,2.5,130,280,285,0
310,3.0,130,280,282,0
314,3.5,130,280,279,0
318,4.0,130,280,276,0
322,4.5,130,280,273,0
327,5.0,130,280,270,0
333,5.5,130,280,267,0
339,6.0,130,280,264,0
345,6.5,130,280,261,0
352,7.0,130,280,258,0
360,7.5,130,280,255,0
368,8.0,130,280,252,0
376,8.5,130,280,249,0
385,9.0,130,280,246,0
395,9.5,130,280,243,0
405,10.0,130,280,240,0
415,10.5,130,280,237,0
426,11.0,130,280,234,0
438,11.5,130,280,231,0
450,12.0,130,280,228,0
462,12.5,130,280,225,0
475,13.0,130,280,222,0
489,13.5,130,280,219,0
503,14.0,130,280,216,0
517,14.5,130,280,213,0
532,15.0,130,280,210,0
548,15.5,130,280,207,0
564,16.0,130,280,204,0
300,0,147,297,300,0
300,0.5,147,297,297,0
301,1.0,147,297,294,0
303,1.5,147,297,291,0
305,2.0,147,297,288,0
307,2.5,147,297,285,0
310,3.0,147,297,282,0
314,3.5,147,297,279,0
318,4.0,147,297,276,0
322,4.5,147,297,273,0
327,5.0,147,297,270,0
333,5.5,147,297,267,0
339,6.0,147,297,264,0
345,6.5,147,297,261,0
352,7.0,147,297,258,0
360,7.5,147,297,255,0
368,8.0,147,297,252,0
376,8.5,147,297,249,0
385,9.0,147,297,246,0
395,9.5,147,297,243,0
405,-10,147,297,240,0
395,-9.5,147,297,237,0
386,-9.0,147,297,234,0
378,-8.5,147,297,231,0
370,-8.0,147,297,228,0
362,-7.5,147,297,225,0
355,-7.0,147,297,222,0
349,-6.5,147,297,219,0
343,-6.0,147,297,216,0
337,-5.5,147,297,213,0
332,-5.0,147,297,210,0
328,-4.5,147,297,207,0
324,-4.0,147,297,204,0
320,-3.5,147,297,201,0
317,-3.0,147,297,198,0
315,-2.5,147,297,195,0
313,-2.0,147,297,192,0
311,-1.5,147,297,189,0
310,-1.0,147,297,186,0
310,-0.5,147,297,183,0
310,0.0,147,297,180,0
310,0.5,147,297,177,1
301,-9.5,147,297,174,1
291,-9.5,147,297,171,1
282,-9.5,147,297,168,1
272,-9.5,147,297,165,1
263,-9.5,147,297,162,1
253,-9.5,147,297,159,1
244,-9.5,147,297,156,1
234,-9.5,147,297,153,1
225,-9.5,147,297,150,1
215,-9.5,147,297,147,0
206,-9.0,147,297,144,0
198,-8.5,147,297,141,0
190,-8.0,147,297,138,0
182,-7.5,147,297,135,0
175,-7.0,147,297,132,0
169,-6.5,147,297,129,0
163,-6.0,147,297,126,0
157,-5.5,147,297,123,0
152,-5.0,147,297,120,0
148,-4.5,147,297,117,0
144,-4.0,147,297,114,0
140,-3.5,147,297,111,0
137,-3.0,147,297,108,0
135,-2.5,147,297,105,0
133,-2.0,147,297,102,0
131,-1.5,147,297,99,0
130,-1.0,147,297,96,0
130,-0.5,147,297,93,0
130,0.0,147,297,90,0
130,0.5,147,297,87,0
131,1.0,147,297,84,0
133,1.5,147,297,81,0
135,2.0,147,297,78,0
137,2.5,147,297,75,0
140,3.0,147,297,72,0
144,3.5,147,297,69,0
148,4.0,147,297,66,0
152,4.5,147,297,63,0
157,5.0,147,297,60,0
163,5.5,147,297,57,0
169,6.0,147,297,54,0
175,6.5,147,297,51,0
182,7.0,147,297,48,0
190,7.5,147,297,45,0
198,8.0,147,297,42,0
206,8.5,147,297,39,0
215,9.0,147,297,36,0
225,9.5,147,297,33,1
215,-9.5,147,297,30,0
206,-9.0,147,297,27,0
198,-8.5,147,297,24,0
190,-8.0,147,297,21,0
182,-7.5,147,297,18,0
175,-7.0,147,297,15,0
169,-6.5,147,297,12,0
163,-6.0,147,297,9,0
157,-5.5,147,297,6,0
152,-5.0,147,297,3,0
148,-4.5,147,297,0,0
300,0,336,486,300,0
300,0.5,336,486,297,0
301,1.0,336,486,294,0
303,1.5,336,486,291,0
305,2.0,336,486,288,0
307,2.5,336,486,285,0
310,3.0,336,486,282,0
314,3.5,336,486,279,0
318,4.0,336,486,276,0
322,4.5,336,486,273,0
327,5.0,336,486,270,0
333,5.5,336,486,267,0
339,6.0,336,486,264,0
345,6.5,336,486,261,0
352,7.0,336,486,258,0
360,7.5,336,486,255,0
368,8.0,336,486,252,0
376,8.5,336,486,249,0
385,9.0,336,486,246,0
395,9.5,336,486,243,0
405,10.0,336,486,240,0
415,10.5,336,486,237,0
426,11.0,336,486,234,0
438,11.5,336,486,231,0
450,12.0,336,486,228,0
462,12.5,336,486,225,0
475,13.0,336,486,222,0
489,13.5,336,486,219,0
503,14.0,336,486,216,0
517,14.5,336,486,213,0
532,15.0,336,486,210,0
548,15.5,336,486,207,0
564,16.0,336,486,204,0
300,0,345,495,300,0
300,0.5,345,495,297,0
301,1.0,345,495,294,0
303,1.5,345,495,291,0
305,2.0,345,495,288,0
307,2.5,345,495,285,0
310,3.0,345,495,282,0
314,3.5,345,495,279,0
318,4.0,345,495,276,0
322,4.5,345,495,273,0
327,5.0,345,495,270,0
333,5.5,345,495,267,0
339,6.0,345,495,264,0
345,6.5,345,495,261,0
352,7.0,345,495,258,0
360,7.5,345,495,255,0
368,8.0,345,495,252,0
376,8.5,345,495,249,0
385,9.0,345,495,246,0
395,9.5,345,495,243,0
405,10.0,345,495,240,0
415,10.5,345,495,237,0
426,11.0,345,495,234,0
438,-10,345,495,231,0
428,-9.5,345,495,228,0
419,-9.0,345,495,225,0
411,-8.5,345,495,222,0
403,-8.0,345,495,219,0
395,-7.5,345,495,216,0
388,-7.0,345,495,213,0
382,-6.5,345,495,210,0
376,-6.0,345,495,207,0
370,-5.5,345,495,204,0
365,-5.0,345,495,201,0
361,-4.5,345,495,198,0
357,-4.0,345,495,195,0
353,-3.5,345,495,192,0
350,-3.0,345,495,189,0
348,-2.5,345,495,186,0
346,-2.0,345,495,183,0
344,-1.5,345,495,180,0
343,-1.0,345,495,177,0
343,-0.5,345,495,174,0
343,0.0,345,495,171,0
343,0.5,345,495,168,0
344,1.0,345,495,165,0
346,1.5,345,495,162,0
348,2.0,345,495,159,0
350,2.5,345,495,156,0
353,3.0,345,495,153,0
357,3.5,345,495,150,0
361,4.0,345,495,147,0
365,4.5,345,495,144,0
370,5.0,345,495,141,0
376,5.5,345,495,138,1
366,-9.5,345,495,135,0
357,-9.0,345,495,132,0
349,-8.5,345,495,129,0
341,-8.0,345,495,126,0
333,-7.5,345,495,123,0
326,-7.0,345,495,120,0
320,-6.5,345,495,117,0
314,-6.0,345,495,114,0
308,-5.5,345,495,111,0
303,-5.0,345,495,108,0
299,-4.5,345,495,105,0
295,-4.0,345,495,102,0
291,-3.5,345,495,99,0
288,-3.0,345,495,96,0
286,-2.5,345,495,93,0
284,-2.0,345,495,90,0
282,-1.5,345,495,87,0
281,-1.0,345,495,84,0
281,-0.5,345,495,81,0
281,0.0,345,495,78,0
281,0.5,345,495,75,0
282,1.0,345,495,72,0
284,1.5,345,495,69,0
286,2.0,345,495,66,0
288,2.5,345,495,63,0
291,3.0,345,495,60,0
295,3.5,345,495,57,0
299,4.0,345,495,54,0
303,4.5,345,495,51,0
308,5.0,345,495,48,0
314,5.5,345,495,45,1
304,-9.5,345,495,42,0
295,-9.0,345,495,39,0
287,-8.5,345,495,36,0
300,0,109,259,300,0
300,0.5,109,259,297,0
301,1.0,109,259,294,0
303,1.5,109,259,291,0
305,2.0,109,259,288,0
307,2.5,109,259,285,0
310,3.0,109,259,282,0
314,3.5,109,259,279,0
318,4.0,109,259,276,0
322,4.5,109,259,273,0
327,5.0,109,259,270,0
333,5.5,109,259,267,0
339,6.0,109,259,264,0
345,6.5,109,259,261,0
352,7.0,109,259,258,0
360,7.5,109,259,255,0
368,8.0,109,259,252,0
376,8.5,109,259,249,0
385,9.0,109,259,246,0
395,9.5,109,259,243,0
405,10.0,109,259,240,0
415,10.5,109,259,237,0
426,11.0,109,259,234,0
438,11.5,109,259,231,0
450,12.0,109,259,228,0
462,12.5,109,259,225,0
475,-10,109,259,222,0
466,-9.5,109,259,219,0
457,-9.0,109,259,216,0
448,-8.5,109,259,213,0
440,-8.0,109,259,210,0
433,-7.5,109,259,207,0
426,-7.0,109,259,204,0
419,-6.5,109,259,201,0
413,-6.0,109,259,198,1
404,-9.5,109,259,195,1
394,-9.5,109,259,192,1
385,-9.5,109,259,189,1
375,-9.5,109,259,186,1
366,-9.5,109,259,183,1
356,-9.5,109,259,180,1
347,-9.5,109,259,177,1
337,-9.5,109,259,174,1
328,-9.5,109,259,171,1
318,-9.5,109,259,168,1
309,-9.5,109,259,165,1
299,-9.5,109,259,162,1
290,-9.5,109,259,159,1
280,-9.5,109,259,156,1
271,-9.5,109,259,153,1
261,-9.5,109,259,150,1
252,-9.5,109,259,147,1
242,-9.5,109,259,144,0
233,-9.0,109,259,141,0
225,-8.5,109,259,138,0
217,-8.0,109,259,135,0
209,-7.5,109,259,132,0
202,-7.0,109,259,129,0
196,-6.5,109,259,126,0
190,-6.0,109,259,123,0
184,-5.5,109,259,120,0
179,-5.0,109,259,117,0
175,-4.5,109,259,114,0
171,-4.0,109,259,111,0
167,-3.5,109,259,108,0
164,-3.0,109,259,105,0
162,-2.5,109,259,102,0
160,-2.0,109,259,99,0
158,-1.5,109,259,96,0
157,-1.0,109,259,93,0
157,-0.5,109,259,90,0
157,0.0,109,259,87,0
157,0.5,109,259,84,0
158,1.0,109,259,81,0
160,1.5,109,259,78,0
162,2.0,109,259,75,0
164,2.5,109,259,72,0
167,3.0,109,259,69,0
171,3.5,109,259,66,0
175,4.0,109,259,63,0
179,4.5,109,259,60,0
184,5.0,109,259,57,0
190,5.5,109,259,54,1
180,-9.5,109,259,51,0
171,-9.0,109,259,48,0
163,-8.5,109,259,45,0
155,-8.0,109,259,42,0
147,-7.5,109,259,39,0
140,-7.0,109,259,36,0
134,-6.5,109,259,33,0
128,-6.0,109,259,30,0
122,-5.5,109,259,27,0
117,-5.0,109,259,24,0
113,-4.5,109,259,21,0
109,-4.0,109,259,18,0
300,0,316,466,300,0
300,0.5,316,466,297,0
301,1.0,316,466,294,0
303,1.5,316,466,291,0
305,2.0,316,466,288,0
307,2.5,316,466,285,0
310,3.0,316,466,282,0
314,3.5,316,466,279,0
318,4.0,316,466,276,0
322,4.5,316,466,273,0
327,5.0,316,466,270,0
333,5.5,316,466,267,0
339,6.0,316,466,264,0
345,6.5,316,466,261,0
352,7.0,316,466,258,0
360,7.5,316,466,255,0
368,8.0,316,466,252,0
376,8.5,316,466,249,0
